StreamName,Hatchery_Josephson,Total_Josephson,pHOS_Josephson,Hatchery_MyDat,Total_MyDat,pHOS_MyDat,pHOS_Diff
Hidden Inlet,18,286,0.063,18,286,0.063,0
Marten River,5,107,0.047,5,107,0.047,0
Carroll Creek,10,228,0.044,10,228,0.044,0
King Creek,28,332,0.084,28,332,0.084,0
Harding River,1,6,0.167,1,6,0.167,0
North Arm Creek,19,440,0.043,19,440,0.043,0
Saginaw Bay S Head,1,103,0.007,1,103,0.01,-0.003
Petrof Bay W Head,0,469,0,0,469,0,0
Johnston Creek,4,128,0.028,4,128,0.031,-0.003
East of Snug Cove,0,176,0,0,176,0,0
Chuck River ,6,445,0.013,6,445,0.013,0
Glen Creek,4,146,0.023,4,146,0.027,-0.004
Swan Cove Creek,5,192,0.029,5,192,0.026,0.003
King Salmon River,7,281,0.028,7,281,0.025,0.003
Prospect Creek,113,472,0.239,113,472,0.239,0
Admiralty Creek,17,403,0.043,17,403,0.042,0.001
Fish Creek,481,756,0.689,481,756,0.636,0.053
Ralphs Creek,3,439,0.007,3,439,0.007,0
Kadashan River,0,63,0,0,63,0,0
Seal Bay Head,2,474,0.004,2,474,0.004,0
Little Goose Creek,0,136,0,0,136,0,0
Freshwater Creek,3,169,0.018,3,169,0.018,0
Greens Creek,0,68,0,0,68,0,0
Chaik Bay Creek,2,580,0.004,2,580,0.003,0.001
Whitewater Creek,9,232,0.04,9,232,0.039,0.001
Rodman Creek,5,468,0.011,5,468,0.011,0
Ushk Bay W Head,4,466,0.008,4,466,0.009,-0.001
Game Creek,1,28,0.037,1,28,0.036,0.001
Sawmill Creek,192,425,0.465,192,425,0.452,0.013
W Crawfish NE Arm Hd,11,755,0.019,11,755,0.015,0.004
Sister Lake SE Head,8,585,0.015,8,585,0.014,0.001
Ford Arm Creek,6,401,0.016,6,401,0.015,0.001
